Task,User,Terms Used,Query States,Observations,OISS,Code,OISS Domain,Verbalization
,,,,,Control,C6,Behavioral,1
,,Prosthetic limb's joints,Generalization (GE),,Trial and Error,TE1,Procedural,0
,,Prosthetic limb's joints differences,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Control,C6,Behavioral,1
,,prosthetic knee joint system,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,Prosthetic knee joint system features,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,0
,,,,opened up pdf files,Trial and Error,TE3,Procedural,1
,,,,,Purposeful Thinking,PT3,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,Is knee a movable joint,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,,Evaluation,E2,Metacognitive,0
,,Shoulder prosthetic joint features,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,opened up pdf file,Select Main Ideas,SMI4,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,glenoid joint,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,,Select Main Ideas,SMI4,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,is glenoid joint movable,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,shoulder prostheses can be by pressure fitting,Related (RE),used chrome's plug-in to search,Control,C10,Behavioral,1
,,,,,Purposeful Thinking,PT1,Metacognitive,0
,,shoulder prostheses by pressure fitting,Generalization (GE),,Trial and Error,TE1,Procedural,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,shoulder prostheses joint,Word Substitution (WS),,Trial and Error,TE1,Procedural,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,humeral head,Related (RE),,Trial and Error,TE1,Procedural,1
,,,,,Control,C6,Behavioral,1
,,total replacement of the shoulder joint,Related (RE),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,0
1,User_9,weight and mass,Initial State (IS),,Control,C1,Behavioral,1
,,,,,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,volume,New (NW),,Trial and Error,TE1,Procedural,1
,,,,Copied description provided by Google's SERP,Select Main Ideas,SMI7,Metacognitive,1
,,density,New (NW),,Trial and Error,TE1,Procedural,1
,,mathematical definition density,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,Copied description provided by Google's SERP,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Evaluation,E1,Metacognitive,0
2,User_9,main bones of the human body,Initial State (IS),,Control,C1,Behavioral,0
,,,,,Select Main Ideas,SMI3,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,main muscles of the human body,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,0
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,diaphragm,Related (RE),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,breathing muscles,Related (RE),,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,main muscles of the human body,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,main involuntary muscles of the human body,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,joints of the human body,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,movable joints of the human body,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
3,User_9,prosthetic limb joint,Initial State (IS),,Control,C1,Behavioral,0
,,,,,Select Main Ideas,SMI2,Metacognitive,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,prosthetic limb joint for leg,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,0
,,prosthetic limb joint,Return State (RS),Returned to the inicial state by clicking in the back button,Control,C6,Behavioral,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,Clicked at an in-site video,Select Main Ideas,SMI5,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,prosthetic limb joint for lower limb,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,how does the prosthetic limb joint for lower limb works,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,,,Opened the website at a new tab while checking the SERP's result,Purposeful Thinking,PT3,Metacognitive,1
,,,,Browsed through the website to know it better,Select Main Ideas,SMI5,Metacognitive,1
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,,,,Trial and Error,TE3,Procedural,1
,,,,Opened a pdf with hyperlinks,Select Main Ideas,SMI5,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,how does the prosthetic limb's mechanical joint works,Word Substitution (WS),Opened a pdf,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,0
,,mechanical prostheses,Word Substitution (WS),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI5,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E2,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,,,,Control,C8,Behavioral,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,1
,,how does the prosthetic knee limb's mechanical joint works,Word Substitution (WS),Opened a pdf with hyperlinks,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI5,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E2,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
1,User_10,Weight definition,Initial State (IS),,Control,C1,Behavioral,1
,,,,,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,Mass definition,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,opened Wikipedia,Select Main Ideas,SMI1,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,Mass definition in physics,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,Volume definition,Word Substitution (WS),,Select Main Ideas,SMI3,Metacognitive,1
,,,,opened Wikipedia,Select Main Ideas,SMI1,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,Density definition,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,Weight formula,New (NW),,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Control,C8,Behavioral,1
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,Mass formula,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,,Control,C8,Behavioral,1
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,Volume formula,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,,Control,C8,Behavioral,1
,,Volume formula from the most common figures,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Control,C8,Behavioral,1
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,Density formula,Word Substitution (WS),,Select Main Ideas,SMI3,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Control,C2,Behavioral,0
,,Comparison between weight and mass,New (NW),,Purposeful Thinking,PT1,Metacognitive,1
,,,,opened Wikipedia,Select Main Ideas,SMI1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,1
2,User_10,main bones of the human skeleton,Initial State (IS),,Control,C1,Behavioral,1
,,,,,Select Main Ideas,SMI3,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Control,C6,Behavioral,1
,,axial skeleton,Word Substitution (WS),,Purposeful Thinking,PT1,Metacognitive,0
,,,,,Control,C8,Behavioral,1
,,,,opened Wikipedia,Select Main Ideas,SMI1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,The axial skeleton is more important than the appendicular skeleton,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,the main muscles of the human body,New (NW),,Select Main Ideas,SMI3,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,movable joints of the human body examples,New (NW),,Purposeful Thinking,PT1,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,,,,Control,C8,Behavioral,1
,,examples of movable joints,Generalization (GE),,Trial and Error,TE1,Procedural,1
,,,,,Control,C8,Behavioral,0
,,,,opened a website through a image link,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,0
3,User_10,movable joints of a prosthetic limb,Initial State (IS),,Control,C1,Behavioral,0
,,,,,Select Main Ideas,SMI2,Metacognitive,1
,,movable joints of a prosthesis,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,,Control,C6,Behavioral,0
,,joints of prosthesis limbs,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,how a prosthetic limb is built,New (NW),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,,,Opened a pdf,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,Opened Google Scholar Website,Control,C4,Behavioral,1
,,Grabowski a.m.; Rifkin J.; Kram R.2010,Related (RE),,Purposeful Thinking,PT1,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,elastic storage and return prosthesis,Related (RE),,Purposeful Thinking,PT1,Metacognitive,0
,,elastic keel,Related (RE),,Purposeful Thinking,PT1,Metacognitive,1
,,elastic keel prosthesis,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,prosthetic monocentric joint,Related (RE),Opened a pdf,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,elastic axial compression,Related (RE),,Purposeful Thinking,PT1,Metacognitive,1
,,elastic axial compression in prosthesis,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,knee joint prosthesis,Word Substitution (WS),,Trial and Error,TE1,Procedural,0
,,a knee joint prosthesis feature,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,1
1,User_11,weight,Initial State (IS),,Control,C1,Behavioral,0
,,,,,Select Main Ideas,SMI2,Metacognitive,1
,,,,opened Brasil Escola,Select Main Ideas,SMI1,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,1
,,mass,New (NW),,Trial and Error,TE1,Procedural,1
,,,,,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,volume,New (NW),,Trial and Error,TE1,Procedural,1
,,,,,Purposeful Thinking,PT1,Metacognitive,1
,,,,opened Wikipedia,Select Main Ideas,SMI1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,density,New (NW),,Trial and Error,TE1,Procedural,1
,,,,,Purposeful Thinking,PT1,Metacognitive,1
,,,,opened Wikipedia,Select Main Ideas,SMI1,Metacognitive,1
,,,,,Control,C6,Behavioral,1
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,1
,,weight and mass,New (NW),,Trial and Error,TE1,Procedural,1
,,,,,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,1
2,User_11,main bones of the human body,Initial State (IS),,Select Main Ideas,SMI3,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,important muscles of the human body,Word Substitution (WS),,Select Main Ideas,SMI3,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,1
,,main joints of the human body,Word Substitution (WS),,Select Main Ideas,SMI3,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,1
3,User_11,prosthetic limb joint,Initial State (IS),,Control,C1,Behavioral,0
,,,,,Select Main Ideas,SMI2,Metacognitive,0
,,prosthetic limb joint features,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,,,Opened a pdf file,Trial and Error,TE3,Procedural,1
,,,,,Evaluation,E4,Metacognitive,0
,,prosthetic socket,Word Substitution (WS),,Control,C2,Behavioral,1
,,,,,Trial and Error,TE1,Procedural,1
,,prosthetic socket definition,Specialization (SC),Read description provided by Google's SERP,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Evaluation,E2,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
1,User_12,weight,Initial State (IS),,Control,C1,Behavioral,1
,,,,,Select Main Ideas,SMI2,Metacognitive,0
,,mass,New (NW),,Purposeful Thinking,PT3,Metacognitive,1
,,volume,New (NW),,Purposeful Thinking,PT3,Metacognitive,1
,,density,New (NW),,Purposeful Thinking,PT3,Metacognitive,1
,,,,Copied description provided by Google's SERP,Select Main Ideas,SMI7,Metacognitive,1
,,weight Vs mass,New (NW),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,volume portuguese,New (NW),,Trial and Error,TE1,Procedural,1
,,,,,Control,C2,Behavioral,1
,,volume,Generalization (GE),,Trial and Error,TE1,Procedural,1
,,,,Copied description provided by Google's SERP,Select Main Ideas,SMI7,Metacognitive,1
2,User_12,what are the main bones and muscles of the human body,Initial State (IS),,Control,C1,Behavioral,0
,,,,,Purposeful Thinking,PT1,Metacognitive,0
,,,,,Control,C8,Behavioral,1
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Purposeful Thinking,PT3,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,1
,,what are the joints of the human body,Word Substitution (WS),,Control,C8,Behavioral,0
,,,,opened a website through a image link,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
3,User_12,what are the joints of a prosthesis,Initial State (IS),,Control,C8,Behavioral,1
,,,,opened a website through a image link,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Control,C8,Behavioral,0
,,what are the joints of a finger prosthesis,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,shift to the all tab,Control,C9,Behavioral,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,,,opened a pdf file,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1